house_name,is_available,deposit,max_price,min_price,currency,price_duration,district,locality,route,postal_code,street_number,total_features,features,max_area,min_area,area_unit,owner_emails,owner_phones,url
Centurion House,False,300,325,160,pound,weekly,Bath and North East Somerset,Bath,North Parade Road,BA2,None,4,bills_included/laundry_facility/communal area/not_available,25,12,sqft,centurionhouse@host-students.com,+44 (0) 1225 585 060,https://amberstudent.com/places/centurion-house-2111299895356
"Avon Studios, Bath	",False,150,309,260,pound,weekly,Bath and North East Somerset,Bath,Midland Road,BA1 3BZ,None,4,bills_included/social_space/Safety and Security/not_available,24,19,sqft,Avonstudios@thisisfresh.com,+441225 618601,https://amberstudent.com/places/avon-studios-bath-1802091275229
"Student Castle, Bath",False,250,379,264,pound,weekly,Bath and North East Somerset,Bath,Pulteney Road (South),BA2 4EZ,33-34,4,gym/laundry_facility/bills_included/not_available,30,17,sqft,bath@studentcastle.co.uk,+44 0333 344 4097,https://amberstudent.com/places/student-castle-bath-2011035560236
"The Depot, Bath",False,250,319,274,pound,weekly,Bath and North East Somerset,Bath,Brougham Hayes,BA2 3GF,None,4,COVID-19 Cancellation Policy/study_area/dual_occupancy/not_available,33,20,sqft,the.depot@studentroost.co.uk,+44 1225 541085,https://amberstudent.com/places/the-depot-bath-1608308069174
"Charlton Court, Bath ",False,None,None,None,pound,weekly,Bath and North East Somerset,Bath,Lower Bristol Road,BA2 3ES,None,4,bills_included/Bike Storage/COVID-19 Cancellation Policy/not_available,None,None,sqft,Internationalbooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/charlton-court-bath-1802187334452
"Zinc Quarter, Bristol",False,250,None,None,pound,weekly,Bristol City,Bristol,Unity Street,BS2 0HN,None,4,laundry_facility/bills_included/sold out/not_available,None,None,sqft,zinc.quarter@studentroost.co.uk,+441172338750,https://amberstudent.com/places/zinc-quarter-bristol-2111306484831
Stonebridge House,False,250,235,199,pound,weekly,Bristol City,Bristol,Colston Avenue,BS1 4TN,None,4,laundry_facility/gym/All utility bills included/not_available,None,None,sqft,enquiries@almerostudent.com,+44 08000086525/+44 07511404193,https://amberstudent.com/places/stonebridge-house-2010065598629
"Studio 58, Bristol",False,99,256,203,pound,weekly,Bristol City,Bristol,Dighton Street,BS2 8AL,4,4,Bike Storage/laundry_facility/game_room/not_available,None,None,sqft,salesenquiries@wearehomesforstudents.com,+44 0330 127 7407,https://amberstudent.com/places/studio-58-bristol-1802194301157
Vita Student Zed Alley,False,None,500,323,pound,weekly,Bristol City,Bristol,Colston Avenue,BS1 4TT,35,4,complimentary breakfast/free personal training and gym/free bikes/not_available,22,17,sqft,internationalpartnerships@vitastudent.com,+44 203 096 1717,https://amberstudent.com/places/vita-student-zed-alley-1608307474267
"The Old Fire Station, Birmingham",True,250,225,155,pound,weekly,West Midlands,Birmingham,Aston Street,B4 7DA,None,3,gym/laundry_facility/bills_included,None,None,sqft,old.fire.station@studentroost.co.uk,+44121 227 4261,https://amberstudent.com/places/the-old-fire-station-birmingham-1608306929727
"Mary Sturge, Birmingham",True,250,154,149,pound,weekly,West Midlands,Birmingham,Aston Street,B4 7UJ,None,3,laundry_facility/bills_included/Common area,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/mary-sturge-birmingham-1809115189325
"Harriet Martineau, Birmingham",True,250,204,145,pound,weekly,West Midlands,Birmingham,Aston Street,B4 7UP,None,3,laundry_facility/bills_included/Bike storage,None,None,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/harriet-martineau-birmingham-1902151550180
"Bagot Street, Birmingham",True,100,202,158,pound,weekly,West Midlands,Birmingham,Bagot Street,B4,2,3,gym/laundry_facility/cinema,28,16,sqft,bagotstreet@collegiate-ac.com/ejalil@collegiate-ac.com,+44 (0) 121 272 3210,https://amberstudent.com/places/bagot-street-birmingham-1805047920452
"Staniforth House, Birmingham",True,250,206,164,pound,weekly,West Midlands,Birmingham,Staniforth Street,B4 7DN,None,3,laundry_facility/study_area/cinema,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/staniforth-house-birmingham-1901117893660
Compass,True,None,215,189,pound,weekly,West Midlands,Birmingham,Vauxhall Road,B7 4HU,1,3,laundry_facility/cinema/bills_included,20,18,sqft,compass@torsionstudents.co.uk,+44 7538 633 828,https://amberstudent.com/places/compass-2111262756724
Westwood Student Mews,True,None,177,129,pound,weekly,West Midlands,Coventry,Marler Road,CV4 8PA,None,3,laundry_facility/cinema/gym,26,14,sqft,salesenquiries@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+44 0370 218 6760,https://amberstudent.com/places/westwood-student-mews-2003044060839
"Sherbourne Student Village, Coventry ",True,250,185,135,pound,weekly,West Midlands,Coventry,Vincent Street,CV1 3HZ,1,3,laundry_facility/Bike Storage/bills_included,30,20,sqft,sherbourne@axostudent.co.uk,4402476 933093,https://amberstudent.com/places/sherbourne-student-village-coventry-1805215728723
"City Village, Coventry",True,100,250,155,pound,weekly,West Midlands,Coventry,Bond Street,CV1 4FQ,None,4,gym/study_area/laundry_facility/bills_included,33,14,sqft,info@downingstudents.com,+44 151 707 2666/+4402476633188,https://amberstudent.com/places/city-village-coventry-1706106092665
Heantun Point,True,100,105,90,pound,weekly,West Midlands,Wolverhampton,Culwell Street,WV10 0JT,1,3,study_area/bills_included/laundry_facility,8,7,sqft,wolverhampton@host-students.com,+44 (0)1902 291 359,https://amberstudent.com/places/heantun-point-2002159366971
The Oaks,True,250,259,185,pound,weekly,West Midlands,Coventry,Westwood Way,CV4 8JB,None,3,gym/laundry_facility/bills_included,30,12,sqft,the.oaks@studentroost.co.uk,+44 1926 958160,https://amberstudent.com/places/the-oaks-1912128520660
"Vita Student Cannon Park, Warwick",True,None,600,280,pound,weekly,West Midlands,Coventry,None,CV4,None,4,complimentary breakfast/free personal training and gym/free bikes/bills_included,27,13,sqft,internationalpartnerships@vitastudent.com,+44 203 096 1717,https://amberstudent.com/places/vita-student-cannon-park-warwick-2111175474759
Apollo House,True,None,115,79,pound,weekly,West Midlands,Coventry,Butts,CV1 3GN,None,4,Flexible Tenancy/Laundry/COVID 19 cancellation policy./bills_included,None,None,sqft,salesenquiries@wearehomesforstudents.com/apollohouse@essentialstudentliving.com,+4402476102069,https://amberstudent.com/places/apollo-house-2004036539141
"Broad Lane House, Coventry",True,250,150,95,pound,weekly,West Midlands,Coventry,Broad Lane,CV5 7AA,1,4,Launderette/Bike storage/On site maintenance/bills_included,17,8,sqft,broadlane@axostudent.co.uk,4402476 933093,https://amberstudent.com/places/broad-lane-house-coventry-1709145906306
 Mitchell Avenue,True,600,135,110,pound,weekly,West Midlands,Coventry,Mitchell Avenue,CV4 8DW,264,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/mitchell-avenue-2011075601764
Queen's Park House,True,250,165,95,pound,weekly,West Midlands,Coventry,Queen's Road,CV1 3GX,None,2,Flexible Tenancy/bills_included,16,12,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/queen-s-park-house-2002125438366
Market Way,True,100,155,117,pound,weekly,West Midlands,Coventry,Market Way,CV1 1DL,10-12,3,laundry_facility/Common room/bills_included,None,None,sqft,marketway@collegiate-ac.com,+44 1235 250 140/+44 (0) 24 7694 1233,https://amberstudent.com/places/market-way-1804026340355
Corporation Village,True,100,235,99,pound,weekly,West Midlands,Coventry,Corporation Street,CV1 1GU,165,3,laundry_facility/game_room/bills_included,None,None,sqft,corporationvillage@collegiate-ac.com,+442476941230,https://amberstudent.com/places/corporation-village-1804023451082
Mercia Lodge,True,None,188,100,pound,weekly,West Midlands,Coventry,Broadgate,CV1 1NB,None,3,laundry_facility/gym/bills_included,28,13,sqft,MerciaLodge@crm-students.com,+440844 371 5663,https://amberstudent.com/places/mercia-lodge-2002149439371
"Downy Birch, Warwick",True,600,190,120,pound,weekly,West Midlands,Coventry,Charter Avenue,CV4,None,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/downy-birch-warwick-2011062855536
Walsall Street,True,600,130,120,pound,weekly,West Midlands,Coventry,Walsall Street,CV4 8EY,86,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/walsall-street-2011079904717
"Abbey House, Coventry",True,100,269,100,pound,weekly,West Midlands,Coventry,Manor Road,CV1,7,4,Bike Storage/Common Room/COVID-19 Cancellation Policy/bills_included,21,12,sqft,booking@uninn.com,+4402477454647/+44 07763235819,https://amberstudent.com/places/abbey-house-coventry-1804039830535
Templars Field,True,600,190,120,pound,weekly,West Midlands,Coventry,Templars' Fields,CV4 8FR,41,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/templars-field-2011050604371
Cherry Tree Drive,True,600,190,120,pound,weekly,West Midlands,Coventry,Cherry Tree Drive,CV4 8LZ,6,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/cherry-tree-drive-2011068775945
Sheriff Avenue,True,600,160,120,pound,weekly,West Midlands,Coventry,Sheriff Avenue,CV4 8FD,48,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/sheriff-avenue-2011076577059
Thimbler Road,True,600,135,120,pound,weekly,West Midlands,Coventry,Thimbler Road,CV4 8FL,26,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/thimbler-road-2011050145084
Charter Avenue,True,600,230,120,pound,weekly,West Midlands,Coventry,Charter Avenue,CV4 8EB,None,3,Parking/Laundry Facilities/Bills Included,30,16,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/charter-avenue-2011075055567
William Kirby,True,600,150,130,pound,weekly,West Midlands,Coventry,William Kirby Close,CV4 9AD,8,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/william-kirby-2011061501781
